DATAFLOW,LAST UPDATE,freq,mot_nrg,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2015,26096,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2016,34167,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2017,54243,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2018,83606,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2019,137193,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2020,309959,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2021,619753,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2022,1015080,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DE,2023,1410887,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2014,2934,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2015,7942,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2016,8731,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2017,8849,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2018,10121,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2019,15581,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,DK,2020,31999,
